ba,illocution,imperative,imperative
nietūa,predicate,insert,___ puts ___ inside ___.
nieq,predicate,unskilled,___ is unskilled at satisfying property ___.
niai,predicate,animal,___ is an animal.
niao,predicate,snow,___ is snow.
niaoshūa,predicate,snow,It snows; ___ snows; ___ snows onto ___.
Nỉaoshūa.,phrase,,"""It's snowing."""
no,predicate,in,___ is in format/medium/genre ___.
Dẻoq súq nò hi tóaq moq?,phrase,,"""In what language are you communicating?"""
nò Fárāqsē,phrase,,"""in French"""
noq,predicate,gustatory,___ is gustatory; ___ pertains to the sense of taste/gustation.
noqgāi,predicate,taste,___ tastes ___.
noqgī,predicate,delicious,___ tastes good / is delicious; ___ tastes good / is delicious to ___.
noqhūi,predicate,taste.bad,___ tastes bad; ___ tastes bad to ___.
noqsī,predicate,taste-listen,___ listens to the taste of ___.
noa,predicate,difficult,Satisfying property ___ is difficult for ___.
noaq,predicate,read,___ reads ___ from ___.
noi,predicate,pain,___ is pain.
noilīe,predicate,suffer,___ suffers / has pain.
noai,predicate,milk,___ is milk.
ne,predicate,amount,___ is how much ___ is the case; ___ is the amount that ___ is the case.
neq,predicate,,___ is determined by the luck/fortunate of ___.
nea,predicate,wide,___ is wide/broad.
neaq,predicate,sand,___ is sand.
neaqgūaq,predicate,desert,___ is a desert.
nei,predicate,nine,___ are nine in number.
neo,predicate,on,___ is on ___.
neoq,predicate,mr/mrs,___ is a Mr./Mrs./Ms./Miss.
pa,terminator,,terminate prenex and apply prenex arguments to predicate in order
papā,predicate,papa,"___ is papa (Dad, daddy, father)."
patā,predicate,potato,___ is a potato.
patī,predicate,party,"___ is a party (gathering for entertainment, fun and socializing)."
paq,predicate,part,___ is a part of ___.
paqcīa,predicate,lack,___ lacks part ___; ___ is missing part ___.
paqmūo,predicate,whole,___ is whole/complete.
paqnūa,predicate,remove,___ removes part ___ from ___.
paqtāo,predicate,participate,___ takes part in ___; ___ participates in ___.
paqshāi,predicate,lose,___ loses part ___.
pai,predicate,friend,___ is a friend; ___ is a friend of ___.
paigī,predicate,friendly,___ is friendly towards ___.
pairūo,predicate,friendly,___ acts friendly/kindly towards ___.
pao,predicate,,___ is a parent of ___; ___ acts parental towards ___; ___ raises ___.
pu,predicate,,___ happened / occured / was the case.
puchāq,predicate,yesterday,___ is yesterday.
pujāo,predicate,,___ happened a long time ago.
pujūi,predicate,,___ happened a short time ago.
puq,predicate,,___ are more than one / multiple things.
puqhō,predicate,,___ are them.
pua,predicate,,___ enjoys satisfying property ___.
puaq,predicate,somatic,___ is somatic/tactile; ___ pertains to the sense of touch/somatosensation.
puaqgāi,predicate,touch.feel,___ touch feels ___.
puaqgī,predicate,feel.good,___ is nice to the touch; ___ is nice to the touch of ___.
puaqsī,predicate,touch.feel,___ focuses on touch feeling ___.
pui,predicate,many,___ are many.
puijēq,predicate,same.number,___ are equal in number to ___; ___ and ___ are equinumerous.
puishō,predicate,multiply,___ multiplies.
puitūa,predicate,multiply,___ multiplies ___.
puipōqchāo,predicate,bus,___ is a bus/omnibus.
puo,predicate,powder,___ is powder.
puoq,,,
pue,predicate,foot,___ is a foot.
puebēa,predicate,knee,___ is a knee.
puedēa,predicate,kick,___ kicks ___.
puefūq,predicate,shoe,___ is a shoe.
puegāo,predicate,sock,___ is a sock.
puejēi,predicate,toe,___ is a toe.
pueshīo,predicate,hip,___ is a hip.
pueq,,,
puai,,,
puao,predicate,cloud,___ is a cloud.
pi,predicate,urine,___ is urine/pee/piss.
picīu,predicate,urinate,___ urinates/pees/pisses.
pijāmā,predicate,pyjama,___ is a pyjama.
pisō,predicate,pear,___ is a pear.
piq,,,
pia,predicate,sibling,___ is a sibling of ___.
pianō,predicate,piano,___ is a piano.
piaq,,,
pio,predicate,rock,___ is rock (material).
pioq,,,
pie,predicate,drink,___ drinks ___.
piekūai,predicate,drink,___ is thirsty.
pieq,,,
piai,,,
piao,predicate,complicated,___ is complicated/complex.
po,predicatizer,of,turns following phrase X into predicate: ___ is of X; ___ is associated with X.
pojī,predicate,my,___ is mine.
posūq,predicate,your,___ is yours.
pomāq,predicate,its,___ is its.
pohō,predicate,his/her,___ is his/hers.
posūqjī,predicate,our,___ is ours.
popūqjī,predicate,our,___ is ours.
popūqsūq,predicate,your,___ is yours.
popūqhō,predicate,their,___ is theirs.
poq,predicate,person,___ is a person.
poqmē,predicate,group.of.people,___ is a group of people.
poa,predicate,closed,___ is closed/shut.
poaq,predicate,break,___ breaks/parts/splits.
poaqsē,predicate,shard,___ is a shard/cullet.
poi,,,
poe,predicate,apart,___ is apart/separate from ___ in property ___.
pe,,,
petā,predicate,peta,"___ are 10<sup>15</sup> (1,000,000,000,000,000) in number; ___ are a quadrillion."
peq,predicate,paper,___ is paper.
peqbōe,predicate,sheet,___ is a sheet of paper.
pea,,,
peaq,,,
peo,predicate,through,___ passes through ___.
peoq,,,
ra,conjunction,,inclusive or
radīo,predicate,radio,___ pertains to radio transmission.
raq,predicate,about,___ pertains to / is about ___.
raqmōi,predicate,think.about,___ thinks about ___.
rai,predicate,something,___ is something.
raijēq,predicate,,___ is the same thing as ___.
rao,predicate,,___ happens at the same time as ___; ___ is simultaneous with ___.
rào sa rái,prepositional phrase,,"""some time"", ""at some point"""
rào sia dáqmōa,prepositional phrase,,"""never"", ""at no moment"""
rào tu dáqmōa,prepositional phrase,,"""always"", ""at every moment"""
rào tu cháq,prepositional phrase,,"""every day"""
ru,conjunction,,and
súq ru jí,argument phrase,,"""you and I"""
ruq,predicate,rain,___ is rain.
ruqdīao,predicate,raindrop,___ is a raindrop.
ruqnūao,predicate,rainbow,___ is a rainbow.
ruqshūa,predicate,rain,It rains; ___ rains; ___ rains onto ___.
Rủqshūa.,phrase,,"""It's raining."""
rua,predicate,,___ is a flower.
ruaq,predicate,,___ asserts/claims ___ to be the case.
rui,predicate,gray,___ is the colour gray.
ruirēo,predicate,gray,___ is of gray colour.
ruo,predicate,behave,___ behaves in way ___ (property); ___ conducts themselves in manner ___ (property).
ruogī,predicate,kind,___ is well-behaved/good/nice.
ruoi,predicate,thin,___ is thin.
ruoq,predicate,straight,___ is straight/linear.
rue,predicate,weak,___ is weak/feeble.
rueq,predicate,tight,___ is tight.
ruai,predicate,royal,___ is royal/noble/aristocratic.
ruaichēa,predicate,crown,___ is a crown.
ruaijōaq,predicate,king/queen,___ is a king/queen.
ruailīqfū,predicate,princess,___ is a princess.
ruaijōaq,predicate,prince,___ is a prince.
ruao,predicate,forgive,___ forgives ___ for satisfying property ___.
ri,,,
riq,predicate,green,___ is the colour green.
riqchāq,predicate,thursday,___ is a Thursday.
riqrēo,predicate,green,___ is of green colour.
ria,predicate,open,___ is open.
riaq,predicate,place,___ is a place/site; ___ is the place/site of ___.
riu,predicate,return,___ returns to satisfying property ___.
riubēaq,predicate,boomerang,___ is a boomerang.
riudūo,predicate,return,___ returns to ___; ___ moves back to ___.
riudōa,predicate,give.back,___ returns ___ to ___; ___ gives ___ back to ___.
riufā,predicate,return,___ returns to ___; ___ goes back to ___.
rio,predicate,air,___ is air.
riochāo,predicate,aircraft,___ is an aircraft/plane.
riofā,predicate,fly,___ flies; ___ flies to ___.
rioq,predicate,type,___ is a type/kind of ___
rie,predicate,between,___ is between/amidst/among ___ (plural).
rieq,predicate,avoid,___ avoids/evades satisfying property ___.
riai,predicate,support,___ supports ___; ___ holds up ___.
riao,predicate,twilight,___ is a twilight/dawn/dusk/half-light/glimmering.
ro,conjunction,xor,exclusive or
roq,predicate,weep,___ cries/weeps; ___ cries tears ___.
roqdīao,predicate,tear,___ is a tear/teardrop.
roa,predicate,natural,___ is natural.
rõa,adverb,naturally,"""naturally"""
roajīaq,predicate,nature,___ is nature.
roaq,predicate,parent,___ is a biological parent of ___.
roi,conjunction,and,plural and
roai,conjunction,eight,___ are eight in number.
roe,predicate,healthy,___ is healthy.
roeshō,predicate,recover,___ recovers; ___ becomes healthy.
re,,,
req,predicate,human,___ is a human.
reqsīu,predicate,humanoid,___ is humanoid/human-like.
rea,predicate,border,___ is a border/edge of ___.
reaq,predicate,lie,___ lies on ___; ___ reclines on ___.
rei,predicate,around,___ is around ___; ___ surrounds ___.
reo,predicate,coloured,___ is coloured; ___ is of colour ___.
Chỏ jí ní rẻo.,phrase,,"""I like this colour."""
Rẻo ní hirái moq?,phrase,,"""What colour is this?"", ""What colour does this have?"""
reosīa,predicate,colourless,___ is colourless.
reoq,predicate,late,___ is late.
reoqhāq,predicate,dinner,___ is dinner (late/evening meal).
reoqrīao,predicate,dusk,___ is dusk.
sa,quantifier,some,existential quantifier
sa póq,argument phrase,,"""someone"", ""somebody"""
sa rái,argument phrase,,"""something"""
sa túq rải,argument phrase,,"""all things (together)"""
sabāq,predicate,soap,___ is soap.
sarālīa,predicate,Australia,___ is Australia.
saq,predicate,,___ are three in number.
saqchīo,predicate,thrice,___ happens thrice / three times.
saqlīaq,predicate,triplet,___ is a triplet.
saqsīoq,predicate,tricycle,___ is a tricycle.
sai,interjection,,hello / hi / greetings
sao,predicate,big,___ is big/large.
saodōaq,predicate,city,___ is a city.
saojēaq,predicate,grow,___ grows / gets bigger.
su,predicate,,___ are [previous predicate].
suhū,predicate,pig,___ is a pig.
suq,predicate,,___ is you / the listener.
sua,predicate,,___ is necessary for ___ to happen.
suahūaq,predicate,,___ is superfluous / more than is necessary for ___ to happen.
suaq,predicate,,___ sings.
sui,predicate,,___ is least in property ___ among ___.
suo,predicate,broken,___ is broken/inoperable.
suoq,,,
sue,predicate,,___ asks ___ to satisfy property ___.
suetā,predicate,sweater,___ is a sweater.
Sủe jí súq lî tủa nẻo ja dó máq tóqfūa ka.,phrase,,"""Please put it on the table"", ""I hereby ask you to put it on the table"""
sueq,,,
suai,predicate,fast,___ is fast/quick; ___ quickly does ___.
suaikūai,predicate,in.a.hurry,___ is in a hurry; ___ feels the urge to quickly satisfy property ___.
suaikōi,predicate,run,___ runs.
suao,predicate,important,___ is important.
suaojīe,predicate,care,___ cares about ___; ___ considers ___ important.
si,predicate,attentive,___ is attentive to / focuses on ___.
sidī,predicate,CD,___ is a CD.
sigā,predicate,cigarette,___ is a cigarette.
simī,predicate,monkey,___ is a monkey.
siq,predicate,,___ is clean/pure.
siqkēa,predicate,washing.machine,___ is a washing machine.
sia,quantifier,,zero quantifier.
sia póq,argument phrase,,"""noone"""
sia rái,argument phrase,,"""nothing"""
siachōa,predicate,say.nothing.,___ says nothing / is silent.
siaq,predicate,right,___ is to the right of ___.
siaqcū,predicate,rightwards,___ moves rightwards.
siaqpāq,predicate,right,___ is the right part of ___.
siu,predicate,similar,___ is similar to ___.
sio,predicate,thought,___ is a thought/idea.
sioq,predicate,wheel,___ is a wheel.
sie,predicate,follow,___ is following to ___ in sequence ___.
siefā,predicate,follow,___ follows/goes after ___.
sieq,predicate,awe,___ feels awe; ___ is amazed.
sieqcā,predicate,amazing,___ is amazing.
siai,predicate,blood,___ is blood.
siao,predicate,beginning,___ is a beginning/start; ___ is a beginning/start of ___.
so,,,
sokā,predicate,soccer,___ is soccer/football.
soq,predicate,most,___ is the ___est among ___; ___ is the most ___ among ___.
soq gỉ,predicate,best,___ is the best among ___.
soq hủi,predicate,worst,___ is the worst among ___.
soq nủi,predicate,smallest,___ is the smallest among ___.
soq pủi,predicate,most,___ are the most numerous among ___.
soq sảo,predicate,biggest,___ is the biggest among ___.
soa,predicate,help,___ helps ___ to satisfy property ___.
soaq,predicate,garden,___ is a garden.
soi,predicate,fight,___ fights with ___; ___ fights against ___.
soai,predicate,beam,___ is a beam/ray/line extending outwards from a point.
soe,predicate,sour,___ is sour.
se,predicate,result,___ is a result/product performing action ___.
sekūq,predicate,second,___ is a second.
setā,predicate,zetta,"___ are 10<sup>21</sup> (1,000,000,000,000,000,000,000) in number; ___ are a sextillion."
seq,,,
sea,predicate,rest,___ rests/relaxes.
seakūai,predicate,exhausted,___ is exhausted.
seaq,predicate,have.sex,___ has sex with ___; ___ has sexual intercourse with ___.
seu,predicate,number,___ is a number.
seo,predicate,spouse,___ is a spouse of ___.
seoq,predicate,sky,___ is a sky.
seoqrēa,predicate,horizon,___ is a horizon.
seoqtūe,predicate,weather,___ is weather.
sha,predicate,,___ arrives at satisfying property ___.
shahā,predicate,chess,chess
shamū,predicate,apple,___ is an apple.
shaq,predicate,in.front,___ is in front of ___.
shai,predicate,cease,___ ceases to be the case; ___ stops satisfying property ___; ___ loses property ___.
shao,predicate,want,___ wants ___ to be the case.
shaogī,predicate,good,___ is good/virtuous.
shaohūi,predicate,bad,___ is bad/evil/wicked.
shu,predicatizer,the.phrase,turn next phrase into quote predicate
shuq,,,
shua,predicate,fall,___ falls to ___ from ___.
shuacāo,predicate,autumn,___ is autumn/fall.
shuaq,predicate,produce,___ produces ___.
shuaqjīo,predicate,factory,___ is a factory.
shuaqsē,predicate,product,___ is a product.
shui,predicate,secret,___ is secret.
shuo,,,
shuoq,,,
shue,predicate,remain,___ remains/stays/keeps satisfying property ___.
shueq,predicate,bitter,___ is bitter.
shuai,predicate,simple,___ is simple.
shuao,predicate,bird,___ is a bird.
shi,predicate,one,___ are one in number.
shichīo,predicate,once,___ happens once / one time.
shiho,predicate,he/she,___ is him/her (singular).
shirai,predicate,individual,___ is an individual.
shiq,predicate,smell,___ is olfactory; ___ pertains to the sese of smell/olfaction.
shiqgāi,predicate,smell,___ smells ___.
shiqhūa,predicate,nose,___ is a nose.
shia,predicate,glass,___ is glass.
shiabīo,predicate,glass,___ is a glass (container).
shiapōaqsē,predicate,glass.shard,___ is a glass shard; ___ is a piece of broken glass.
shiaq,predicate,leg,___ is a leg.
shiu,predicate,past,___ is before / in the past of ___.
shiujāi,predicate,look.forward,___ looks forward to ___; ___ is in joyful anticipation of ___.
shiumē,predicate,past,___ is a/the past.
shiumejīo,predicate,museum,___ is a museum.
shio,predicate,hip,___ is a hip/shoulder.
shioq,,,
shie,predicate,awake,___ is awake.
shieq,,,
shiai,,,
shiao,,,
sho,predicate,become,___ becomes such that they satisfy property ___.
shoq,,,
shoa,predicate,deep,___ is deep.
shoaq,,,
shoi,predicate,scream,___ screams/shouts/yells/cries.
shoe,predicate,,___ lets ___ happen; ___ allows ___ to happen.
shoai,predicate,wing,___ is a wing.
she,predicate,,___ is the case if ___ is the case.
sheq,,,
shea,predicate,empty,___ is empty in aspect ___.
sheaq,predicate,stand,___ stands on ___.
shei,predicate,free,___ is free to do ___.
sheo,predicate,regret,___ regrets satisfying property ___.
sheokūq,predicate,apologize,___ says sorry to ___.
sheoq,,,
ta,,,
tama,predicate,tomato,___ is a tomato.
taq,predicate,self,___ is related to itself by property ___.
taq tủa mủaq,predicate,commit.suicide,___ commits suicide / kills themselves.
taqchāo,predicate,car,___ is a car; ___ is an automobile.
tai,predicate,succeed,___ succeeds at satisfying property ___.
tao,predicate,do,___ does ___.
taodīe,predicate,advise,___ advises ___ to do ___.
taokōe,predicate,choose.to,___ chooses to do ___.
taomōi,predicate,consider.doing,___ considers doing ___.
taosīo,predicate,plan,___ is an idea / a plan.
tu,quantifier,any,quantifier: universal quantifier
tuchāo,predicate,bus,___ is a bus/omnibus.
tuchāocē,predicate,bus.stop,___ is a bus stop.
tu póq,argument phrase,,"""everyone"""
tu rái,argument phrase,,"""everything"", ""anything"""
tuq,predicate,,___ are all things that satisfy property ___.
tuqfīa,predicate,,___ is first in sequence ___.
tuqsīe,predicate,,___ is last in sequence ___.
tua,predicate,make.happen,___ makes ___ happen.
tua bủo,predicate,prepare,___ prepares ___ for satisfying property ___.
tua dủa,predicate,tell,___ tells ___ that ___ is the case; ___ makes ___ know ___.
tua dỉa,predicate,lower,___ lowers ___ in how much it satisfies property ___.
tua gải,predicate,show,___ shows ___ object/event ___; ___ makes ___ observe ___.
tua hỏaq,predicate,ignite,___ ignites ___; ___ sets fire to ___.
tua jẻaq,predicate,raise,___ raises ___ in how much it satisfies property ___.
tua jẻaq gẻa,predicate,raise,___ raises ___ higher.
tua jẻaq nỉa,predicate,lower,___ lowers ___ down.
tua kảqgāi,predicate,show,___ shows ___ object/event; ___ makes ___ see ___.
tua nỉe,predicate,,___ puts ___ inside ___.
tua nẻo,predicate,,___ puts ___ onto ___.
tua pỏaq,predicate,split,___ breaks/splits/separates ___.
tua sủo,predicate,break,___ breaks/destroys ___; ___ makes ___ be broken/inoperable.
tua shỉe,predicate,wake,___ wakes ___ up; ___ awakens ___.
tua tỉ,predicate,put,___ puts ___ at ___.
tua tỉrīu,predicate,put.back,___ puts ___ back at ___.
tuaq,,,
tui,predicate,sit,___ sits on ___.
tuifūa,predicate,chair,___ is a chair/stool/seat/bench.
tuitōq,predicate,bench,___ is a bench.
tuo,predicate,swallow,___ swallows; ___ swallows ____.
tuoi,predicate,flaw,___ is a flaw/fault/defect in ___.
tuoicīa,predicate,flawless,___ is flawless/perfect.
tuoq,predicate,heavy,___ is heavy.
tue,predicate,state,___ is a state / state of affairs / situation; ___ is a state of affairs of property ___.
tueq,,,
tuai,predicate,body,___ is a body/corpse.
tuaibō,predicate,physical,___ is physical/corporal.
tuaicīa,predicate,non-physical,___ is non-physical.
tuao,predicate,little,___ is little/non-much in property ___.
tuaobū,predicate,quite,___ is quite ___.
ti,predicate,at,___ is at ___.
tirīu,predicate,return,___ returns to location ___.
tibī,predicate,TV,___ pertains to television.
tidūashō,predicate,find,___ finds ___; ___ discovers that ___ is at ___.
tijāo,predicate,far,___ is far away from ___.
tijūi,predicate,near,___ is near / in the vicinity of ___.
tinīqdūa,predicate,,___ finds ___; ___ discovers that ___ is at ___.
tishā,predicate,arrive,___ arrives at ___.
tishūe,predicate,stay,___ stays at ___.
tiq,predicate,tile,___ is a tile.
tiqshōai,predicate,butterfly,___ is a butterfly.
tia,predicate,behind,___ is behind ___.
tiaq,predicate,brown,___ is the colour brown.
tiaqrēo,predicate,brown,___ is of brown colour.
tio,statement prefix,how.much,statement prefix: how much; to what extent
tiopūi,predicate,how.many,___ are how many.
tioq,predicate,lock,___ is a lock.
tioqpōa,predicate,locked,___ is locked.
tie,predicate,cover,___ covers ___.
tiechūo,predicate,lid,___ is a lid/cover.
tieq,predicate,,___ is a way/path.
tiai,predicate,box,___ is a box.
tiao,predicate,match,___ matches/fits/suits ___ in property ___.
to,separator,,helper particle in forethought conjunctions: to + conj ___ to ___
toq,predicate,board,___ is a board.
toqfūa,predicate,table,___ is a table.
toa,predicate,word,___ is a word.
toagīu,predicate,line,___ is a line (of text).
toai,predicate,quantum,___ is a quantum / smallest possible unit of quantity or quantifiable phenomenon ___.
toaq,predicate,language,___ is a language.
toi,,,
te,predicate,cut,___ cuts ___ into ___.
techūo,predicate,knife,___ is a knife.
terā,predicate,tera,"___ are 10<sup>12</sup> (1,000,000,000,000) in number; ___ are a trillion."
teq,predicate,pay,___ pays ___ to ___ for satisfying property ___.
teqgūai,predicate,pay work,___ does payed work ___; ___ does ___ as a job.
tea,predicate,scared,___ is scared / experiences fear.
teaq,predicate,breast,___ is a breast.
teaqjīeq,predicate,nipple,___ is a nipple.
teaqnīai,predicate,mammal,___ is a mammal.
teaqrīai,predicate,bra,___ is a bra.
tei,predicate,form,___ is a form/shape; ___ is a form/shape of ___.
teo,end-quote,»,terminate full-text quote.
teoq,predicate,question,___ is a question.
teoqkūq,predicate,ask,___ asks question ___ to ___.
teoqmōi,predicate,doubt,___ doubts that ___ is the case.